Nome reperto;Indirizzo;Tipo
Chiesa dei Santi Filippo e Giacono;Via Belfiore,2 37014 Cavalcaselle VR;Edificio storico
Chiesa di Santa Maria Assunta;Via Bandiera 37014 Oliosi VR;Edificio storico
Villa Mosconi Negri;Via Zamboni 37014 Sandrà VR;Edificio storico
Villa Cossali Ridolfi Sella;Via Milano,56 37014 Castelnuovo del Garda VR;Edificio storico
'Villa Arvedi d''Emilei';Via Palazzo,2 37014 Cavalcaselle VR;Edificio storico
Villa Bagolini;Via Cà Brusà, 20A, 37014 Castelnuovo del Garda VR;Edificio storico
Torre Viscontea;Via Castello;Edificio storico
Palazzo Angelini;Piazza degli Alpini,4 37014 Castelnuovo del Garda VR;Edificio storico
Tricolore di Oliosi;Via Custoza, 15 37014 Oliosi VR;Edificio storico
Chiesa di Santa Maria;Via Castello,25 37014 Castelnuovo del Garda VR;Edificio storico
Colle San Lorenzo;Via San Lorenzo 37014 Cavalcaselle VR;Parco naturale
Monumento ai Martiri;Via Castello,6 37014 Castelnuovo del Garda VR;Monumento
'Chiesa di Sant'' Andrea apostolo';Via Pastrengo,78 37014 Sandrà VR;Edificio storico
Monumento al Generale Rey di Villarey;Via Zenati, 11A, 37014 Oliosi VR;Monumento
Chiesa di San Martino;Via San Martino, 1, 37014 Castelnuovo del Garda VR;Edificio storico
