Nome reperto;Indirizzo;Tipo
Dogana Veneta;Piazzetta Partenio, 13, 37017 Lazise VR;Edificio storico
Pieve Romanica di San Nicolò;Via Fontana, 5, 37017 Lazise VR;Edificio storico
Castello Scaligero ;Via Rosenheim, 13, 37017 Lazise VR;Edificio storico
Mura di Lazise;Via Rosenheim, 13, 37017 Lazise VR;Edificio storico
Palazzo comunale ;Piazza Vittorio Emanuele, 2, 37017 Lazise VR;Edificio storico
Monumento ai caduti Lazise;Piazza A. Partenio, 37017 Lazise VR;Monumento
Chiesa dei Santi Zenone e Martino;Via Chiesa, 2 37017 Lazise;Edificio storico
Chiesetta dei Santi Fermo e Rustico ;SP31, 41, 37017 Villaggi Santi-San Fermo VR;Edificio storico
Chiesa Parrocchiale di San Giovanni Battista di Pacengo;Piazza Chiesa, 5, 37017 Pacengo VR;Edificio storico
Chiesa di San Giorgio Martire;Via Castello, 10, 37017 Colà VR;Edificio storico
Chiesa di Santa Maria delle Grazie “La Pergolana”;Via della Pergolana, 15, 37017 Lazise ;Edificio storico
Chiesetta in Corte Saline;Località Saine, 37017 Lazise;Edificio storico
Oratorio di Sant’Antonio a Palù dei Mori;Località Palù dei Mori, 37017 Palù dei Mori VR;Edificio storico
Santuario della Madonna della Neve;Via Possoi, 3, 37017 Colà VR;Edificio storico
Monumento ai Marinai caduti;Via Porto, 56, Lazise;Monumento
Monumento ai caduti Pacengo;Piazza Senatore Alberti;Monumento
Monumento ai caduti Colà;Piazza Don Alessandro Vantini, Colà di Lazise;Monumento
Porta del Lion;37017 Lazise VR;Edificio storico
Porta San Zeno;37017 Lazise VR;Edificio storico
Porta Cansignorio;Via Cansignorio, 18, 37017 Lazise VR;Edificio storico
