Nome reperto;Tipo
Telegrafo Ottico;Monumento
Forte Degenfeld;Monumento
Forte Nugent;Monumento
Forte Leopold;Monumento
Forte Benedek;Monumento
Fortino Belvedere;Monumento
Rustico di Carlo Alberto sul campo di battaglia della Carica;Edificio storico
Palazzo del Comune;Edificio storico
Monumento ai Caduti;Monumento
Santuario di Santa Maria di Pol;Edificio storico
Chiesetta di San Rocco;Edificio storico
Caserma di Campara;Edificio storico
Villa Randina;Edificio storico
Colombaron;Edificio storico
Chiesetta romanica di San Zeno;Edificio storico
Le Fontane;Fontana
