Nome reperto;Indirizzo;Tipo;Note;
Chiesa di San Quirico e Santa Giuditta;Via S. Quirico, 4, 37060 Sona VR;Chiesa;Visitabile su richiesta;
Chiesa di San Salvatore;Via Montespada, Sona, VR;Chiesa;Visitabile su richiesta;
Pieve di Santa Giustina;Via Santa Giustina, 37060 Sona VR;Chiesa;Visitabile su richiesta;
Chiesa Parrocchiale di Lugagnano di Sona;Via Don Giuseppe Fracasso, 3, 37060 Sona VR;Chiesa;;
Chiesa Parrocchiale di Sona;Piazza della Vittoria, 9, 37060 Sona VR;Chiesa;;
Chiesa Parrocchiale di San Giorgio in Salici;Via Santini, 1, 37060 San Giorgio In Salici VR;Chiesa;;
Chiesa Parrocchiale di Palazzolo di Sona;Via IV Novembre, 2, 37060 Sona VR;Chiesa;;
Chiesetta di Sant'Antonio da Padova;Via Ghiaia, 37060 Palazzolo VR;Chiesa;;
Chiesetta di San Rocco;Via S. Rocco, 9, 37060 San Rocco VR;Chiesa;;
Torre Scaligera di Palazzolo di Sona;Via Castello, 7, 37060 Sona VR;Edificio storico;;
Corte Beccarie;Corte Beccarie, 37A, 37060 Lugagnano VR;Edificio storico;Privato;
Corte Centurara;Via Centurara, 1 37060 SONA VR;Edificio storico;Privato;
Corte Colombarone;Via Molinara 37060 SONA VR;Edificio storico;Privato;
Corte Guastalla Vecchia;Via Guastalla Vecchia, 11 37060 San Giorgio in Salici VR;Edificio storico;Struttura ricettiva;
Corte La Merla;Via La Merla, 1 37060 SONA VR;Edificio storico;Privato;
Corte Montresora;Via Montresora 37060 SONA VR;Edificio storico;Privato;
Corte Turco;Località Turco, 37060 Sona VR;Edificio storico;Struttura ricettiva;
Monumento caduti grande guerra Palazzolo di Sona;Via Castello, 2-10, 37060 Sona VR;Monumento;;
Fontana di Sona con monumento ai caduti;Piazza della Vittoria, 7, 37060 Sona VR;Fontana;;
"Museo Paleontologico e dell'origine del territorio ""Attilio Fedrigo""";Piazza della Vittoria, 11, 37060 Sona VR;Museo;;
Museo storico baita Monte Baldo-Alpini di Lugagnano di Sona;Via Caduti del Lavoro, 4, 37060 Sona VR;Museo;;
Cippo battaglia del 1866;Località Fenilon, Sona VR;Monumento;;
Villa Sparici Landini;via Monte Corno, 10 37060 SONA VR;Edificio storico;Struttura ricettiva;
Villa Bajetta, ora Gaspari;Via Santini, 21, 37060 San Giorgio In Salici VR;Edificio storico;Privato;
Villa Cavazzocca Mazzanti, ora Bressan;"Via San Rocco
37060 San Giorgio in Salici VR";Edificio storico;Privato;
Villa Giusti del Giardino;37060 Guastalla Nuova VR;Edificio storico;Struttura ricettiva;
Villa L'Innominata;Via Roma, 23 37060 SONA VR;Edificio storico;Visitabile su richiesta;
Villa Maggi Berzacola detta del Belvedere;via Bellavista 37060 Palazzolo VR;Edificio storico;;
Villa Merighi;Via Gaburri, 62 37060 San Giorgio in Salici VR;Edificio storico;Privato;
Villa Patrovich ora Manzati;via Castello 37060 Palazzolo VR;Edificio storico;Privato;
Villa Cavallari Gauarenti;Via Monte Bonello, 1 37060 San Giorgio in Salici VR;Edificio storico;Privato;
Villa Spolverini Schizzi Fiorini;via IV Novembre, 1 37060 Palazzolo VR;Edificio storico;Privato;
Villa Trevisani;Via Roma, 21 37060 SONA VR;Edificio storico;Visitabile su richiesta;
Bagolaro Corte Pietà;Corte Pietà, Sona, VR;Parco naturale;;
Tunnel Amore;Località Guastalla, Sona VR;Parco naturale;;
Viale dei Cipressi presso Villa Landini-Sparici;via Monte Corno, 10 37060 SONA VR;Parco naturale;Privato;
Parco di Villa Trevisani;Via Roma, 37060 Sona VR;Parco naturale;;
