Nome reperto;Indirizzo;Tipo
Castello Scaligero;Via Degli Scaligeri;Monumento
Palazzo Guarienti;Via Antonio Murari 27;Edificio storico
Ponte Visconteo;Via Ponte Visconteo;Monumento
Centro Storico Borghetto;Borghetto;Edificio storico
Cimitero Monumentale ;Via Giuseppe Mazzini 34;Monumento
Il Serraglio;Strada Provinciale, 24;Edificio storico
Cimitero Di Salionze;Localita’ Radicchio 5;Monumento
Torre Del Borgo;Via Raffaello Sanzio;Edificio storico
Borghetto Ponte Di Legno;Via Raffaello Sanzio;Edificio storico
Chiesa Di San Pietro E Oratorio Del Santissimo ;Vicolo Oratorio 2;Edificio storico
Chiesa Di San Marco ;Via Raffaello Sanzio, ;Edificio storico
Chiesa Di Santa Lucia;Localita’ Santa Lucia, 13;Edificio storico
Palazzo Municipale E Piazza ;Piazza Carlo Alberto;Fontana
Casa Natale Domenico E Jacopo Foroni ;;Edificio storico
Villa Zamboni ;Via G.Zamboni;Edificio storico
Villa Maffei – Sigurtà;Parco Giardino Sigurtà;Edificio storico
Fontanella Lavatoio;Via Roma;Fontana
Villa Sigurtà;Via Circonvallazione Maffei;Edificio storico
