Nome reperto;Indirizzo;Tipo
Santuario della Madonna di Campagnamagra;Via Campagnamagra, 12;Santuario
Villa La Zambonina;Via Zambonina, 68;Villa storica
Chiesa di Sant'Eurosia;Via Verona;Chiesa
Chiesa Parrocchiale di San Zeno;Corso Vittorio Emanuele II, 9/A;Chiesa
Chiesa Di Isolalta;Via Villafranca, 42;Chiesa
Chiesa di Forette;Via S.Martino, 18;Chiesa
Monumento ai caduti;Via Montemezzi;Monumento
Monumento ai bersaglieri;Via Montemezzi;Monumento
Monumento agli alpini;Viale Europa;Monumento
Monumento al fante;Piazzale dei fanti;Monumento
Monumento ai caduti;Via Villafranca (Isolalta);Monumento
Villa Montemezzi;Via Montemezzi;Villa storica
Statua natività;Piazza Papa Luciani;Monumento
